base;titulo.x;ano.x;autores;desc_1;desc_2;link_de_acesso;link;titulo.y;temas;ano.y;local_defesa;instituicao;parser_usado;motivo_na
BDTD;Uso de processamento paralelo e distribuído no plano de controle de redes definidas por software para aumento da eficiência energética em redes de datacenters;2021;Oliveira, Tadeu Ferreira;NA;x;https://bdtd.ibict.br/vufind/Record/UFRN_e3484174c5d53e86a270d0c5cdc16c07;https://bdtd.ibict.br/vufind/Record/UFRN_e3484174c5d53e86a270d0c5cdc16c07;Uso de processamento paralelo e distribuído no plano de controle de redes definidas por software para aumento da eficiência energética em redes de datacenters;;NA;NA;;bdtd_vufind;NA
BDTD;O impacto do uso das tecnologias disruptivas da sociedade Informacional nas relações de trabalho: conformação da regulação normativa sobre inteligência artificial ao valor social do trabalho;2021;Carvalho, Marina Morais de;x;NA;https://bdtd.ibict.br/vufind/Record/UFPB_a9a72d85d6f23b59b9d3e18856283504;https://bdtd.ibict.br/vufind/Record/UFPB_a9a72d85d6f23b59b9d3e18856283504;O impacto do uso das tecnologias disruptivas da sociedade Informacional nas relações de trabalho: conformação da regulação normativa sobre inteligência artificial ao valor social do trabalho;;NA;e economia destas tecnologias;;bdtd_vufind;NA
BDTD;Sustentabilidade na nuvem: um modelo de eficiência energética em ambientes de computação verde;2024;REIS, Thiago Nelson Faria dos;NA;x;https://bdtd.ibict.br/vufind/Record/UFMA_1ae39d545e455b353cda45aad5133f9a;https://bdtd.ibict.br/vufind/Record/UFMA_1ae39d545e455b353cda45aad5133f9a;Sustentabilidade na nuvem: um modelo de eficiência energética em ambientes de computação verde;;NA;NA;;bdtd_vufind;NA
BDTD;Gestão de infraestrutura em data centers: alocação automatizada de recursos em ambientes virtualizados;2025;Aguiar, Raphael Alves de;NA;x;https://bdtd.ibict.br/vufind/Record/UCB_d2131f6f8b2b7479908179aa8c72b18e;https://bdtd.ibict.br/vufind/Record/UCB_d2131f6f8b2b7479908179aa8c72b18e;Gestão de infraestrutura em data centers: alocação automatizada de recursos em ambientes virtualizados;;NA;NA;;bdtd_vufind;NA
BDTD;ChatGPT e Inteligência Artificial Generativa: contribuições a partir do marxismo e da Economia Política da Comunicação;2025;Pfeil, André Jorge Cavallo;x;NA;https://bdtd.ibict.br/vufind/Record/UFF-2_91fe8b51dcc3987bc23ed658efedeeb0;https://bdtd.ibict.br/vufind/Record/UFF-2_91fe8b51dcc3987bc23ed658efedeeb0;ChatGPT e Inteligência Artificial Generativa: contribuições a partir do marxismo e da Economia Política da Comunicação;;NA;NA;;bdtd_vufind;NA
BDTD;Tecnologia, ubiquidade e pervasividade: por uma taxonomia da Inteligência Artificial (IA) baseada na Pedagogia Histórico Crítica;2024;Patricio, Thiago Seti;x;NA;https://bdtd.ibict.br/vufind/Record/UNSP_89578b79f7bb32e4781d159eb2d3488c;https://bdtd.ibict.br/vufind/Record/UNSP_89578b79f7bb32e4781d159eb2d3488c;Tecnologia, ubiquidade e pervasividade: por uma taxonomia da Inteligência Artificial (IA) baseada na Pedagogia Histórico Crítica;;NA;NA;;bdtd_vufind;NA
BDTD;Projeto ConsciêncIA: Uma Plataforma para Auxílio no Ensino de Inteligência Artificial na Educação Básica;2025;Jorge Emilio da Costa Walder;x;NA;https://bdtd.ibict.br/vufind/Record/UFMS_f082a363ed8469eef9f2cae3d33358d8;https://bdtd.ibict.br/vufind/Record/UFMS_f082a363ed8469eef9f2cae3d33358d8;"""Projeto ConsciêncIA: Uma Plataforma para Auxílio no Ensino de Inteligência Artificial na Educação Básica”";;NA;NA;;bdtd_vufind;NA
BDTD;Uso da plataforma chatgpt e adobe express na aprendizagem ativa e crítica: produção de vídeos em sala de aula com os alunos do ensino médio na disciplina de química;2025;Mercês, Guilherme Jansen Lacerda;x;NA;https://bdtd.ibict.br/vufind/Record/UFSP_2a22e875b6fec5ede63846d13fffd73d;https://bdtd.ibict.br/vufind/Record/UFSP_2a22e875b6fec5ede63846d13fffd73d;Uso da plataforma chatgpt e adobe express na aprendizagem ativa e crítica: produção de vídeos em sala de aula com os alunos do ensino médio na disciplina de química;;NA;NA;;bdtd_vufind;NA
BDTD;Educação híbrida: os desafios da docência e o novo fazer pedagógico na era digital;2023;Cechin, Lenice Medianeira;x;NA;https://bdtd.ibict.br/vufind/Record/UFSM_0b38afdea3775b0d42f371c31e229395;https://bdtd.ibict.br/vufind/Record/UFSM_0b38afdea3775b0d42f371c31e229395;Educação híbrida: os desafios da docência e o novo fazer pedagógico na era digital;;NA;NA;;bdtd_vufind;NA
BDTD;A inteligência artificial como prática mediadora para o ensino e aprendizagem na educação;2022;Domeneghini, Daiana;x;NA;https://bdtd.ibict.br/vufind/Record/UCS_692380f20ad525198a569bbbd58bd874;https://bdtd.ibict.br/vufind/Record/UCS_692380f20ad525198a569bbbd58bd874;A inteligência artificial como prática mediadora para o ensino e aprendizagem na educação;;NA;NA;;bdtd_vufind;NA
